"id","label","value"
1,"Alaska","AK"
2,"Alabama","AL"
3,"American Samoa","AS"
4,"Arizona","AZ"
5,"Arkansas","AR"
6,"California","CA"
7,"Colorado","CO"
8,"Connecticut","CT"
9,"Delaware","DE"
10,"District of Columbia","DC"
11,"Federated States of Micronesia","FM"
12,"Florida","FL"
13,"Georgia","GA"
14,"Guam","GU"
15,"Hawaii","HI"
16,"Idaho","ID"
17,"Illinois","IL"
18,"Indiana","IN"
19,"Iowa","IA"
20,"Kansas","KS"
21,"Kentucky","KY"
22,"Louisiana","LA"
23,"Maine","ME"
24,"Marshall Islands","MH"
25,"Maryland","MD"
26,"Massachusetts","MA"
27,"Michigan","MI"
28,"Minnesota","MN"
29,"Mississippi","MS"
30,"Missouri","MO"
31,"Montana","MT"
32,"Nebraska","NE"
33,"Nevada","NV"
34,"New Hampshire","NH"
35,"New Jersey","NJ"
36,"New Mexico","NM"
37,"New York","NY"
38,"North Carolina","NC"
39,"North Dakota","ND"
40,"Northern Mariana Islands","MP"
41,"Ohio","OH"
42,"Oklahoma","OK"
43,"Oregon","OR"
44,"Palau","PW"
45,"Pennsylvania","PA"
46,"Puerto Rico","PR"
47,"Rhode Island","RI"
48,"South Carolina","SC"
49,"South Dakota","SD"
50,"Tennessee","TN"
51,"Texas","TX"
52,"Utah","UT"
53,"Vermont","VT"
54,"Virgin Islands","VI"
55,"Virginia","VA"
56,"Washington","WA"
57,"West Virginia","WV"
58,"Wisconsin","WI"
59,"Wyoming","WY"
60,"Armed Forces Africa","AE"
61,"Armed Forces Americas (except Canada)","AA"
62,"Armed Forces Canada","AE"
63,"Armed Forces Europe","AE"
64,"Armed Forces Middle East","AE"
65,"Armed Forces Pacific","AP"
